X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,Qty2,Value2
M,2021-06-16 21:38:25,2021-06-14,STKS,"One Group Hospitality, Inc.",Bullis Eugene M,Dir,S - Sale,$12.56,"-20,434","109,007",-16%,"-$256,573",#N/A,#N/A
D,2021-06-16 21:38:00,2021-06-16,FB,Facebook Inc,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$333.57,"-77,300","2,020,846",-4%,"-$25,785,054",#N/A,#N/A
,2021-06-16 21:34:59,2021-06-14,FLEX,Flex Ltd.,Offer David Scott,"EVP, GC",S - Sale,$18.26,"-11,449","554,902",-2%,"-$209,107",#N/A,#N/A
,2021-06-16 21:33:13,2021-06-15,FLEX,Flex Ltd.,Hartung Michael P,"Pres, Agility Solutions",S - Sale,$18.05,"-5,440","132,276",-4%,"-$98,214",#N/A,#N/A
,2021-06-16 21:31:32,2021-06-14,FLEX,Flex Ltd.,Bennett David P,Chief Accounting Officer,S - Sale,$18.26,"-55,778","117,741",-32%,"-$1,018,647",#N/A,#N/A
,2021-06-16 21:30:05,2021-06-14,FLEX,Flex Ltd.,Barbier Francois,Group Pres,S - Sale,$18.27,"-19,906","483,714",-4%,"-$363,645",#N/A,#N/A
,2021-06-16 21:29:00,2021-06-14,FLEX,Flex Ltd.,Advaithi Revathi,CEO,S - Sale,$18.26,"-49,065","993,242",-5%,"-$896,074",#N/A,#N/A
D,2021-06-16 21:23:36,2021-06-14,MCAEU,Mountain Crest Acquisition Corp. III,Liu Suying,"CEO, CFO, 10%",P - Purchase,$10.00,#ERROR!,"1,460,384",0%,#ERROR!,2086,20860
D,2021-06-16 21:23:22,2021-06-14,MCAEU,Mountain Crest Acquisition Corp. III,Mountain Crest Holdings III LLC,10%,P - Purchase,$10.00,#ERROR!,"1,460,384",0%,#ERROR!,2086,20860
,2021-06-16 21:23:05,2021-06-14,APR,"Apria, Inc.",Blackstone Group Inc,10%,S - Sale,$25.38,"-5,175,000","19,037,042",-21%,"-$131,341,500",#N/A,#N/A
M,2021-06-16 21:22:17,2021-06-14,BCAB,"Bioatla, Inc.",Short Jay M Phd,"CEO, 10%",S - Sale,$40.06,"-146,137","3,125,888",-4%,"-$5,854,430",#N/A,#N/A
,2021-06-16 21:20:07,2021-06-14,APR,"Apria, Inc.",Apria Holdings LLC,10%,S - Sale,$25.38,"-5,175,000","19,037,042",-21%,"-$131,341,500",#N/A,#N/A
D,2021-06-16 21:04:46,2021-06-15,FB,Facebook Inc,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$336.94,"-77,300","2,035,846",-4%,"-$26,045,687",#N/A,#N/A
,2021-06-16 21:00:49,2021-06-14,ATLC,Atlanticus Holdings Corp,Howard Jeffrey A.,"Pres, CEO",S - Sale,$40.07,"-4,975","430,571",-1%,"-$199,348",#N/A,#N/A
D,2021-06-16 20:57:50,2021-06-14,ZEN,"Zendesk, Inc.",Titterton Jeffrey J,COO,S - Sale+OE,$140.80,"-3,000","16,000",-16%,"-$422,398",#N/A,#N/A
D,2021-06-16 20:55:56,2021-06-14,FB,Facebook Inc,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$334.53,"-77,300","2,050,846",-4%,"-$25,859,314",#N/A,#N/A
D,2021-06-16 20:53:18,2021-06-11,AXNX,"Axonics, Inc.",Sama Rinda,COO,S - Sale+OE,$59.78,"-2,638","32,898",-7%,"-$157,700",#N/A,#N/A
,2021-06-16 20:52:40,2021-06-14,ARES,Ares Management Corp,Bush Antoinette Cook,Dir,P - Purchase,$58.79,#ERROR!,"12,395",0.7,#ERROR!,5106,300182
DM,2021-06-16 20:52:04,2021-06-14,NET,"Cloudflare, Inc.",Prince Matthew,"CEO, Chair of the Board, 10%",S - Sale+OE,$94.58,"-157,153",0,-100%,"-$14,862,801",#N/A,#N/A
,2021-06-16 20:46:32,2021-06-14,CME,Cme Group Inc.,Siegel Howard J,Dir,S - Sale,$215.00,"-1,500","80,068",-2%,"-$322,500",#N/A,#N/A
,2021-06-16 20:39:10,2021-06-14,ZIP,"Ziprecruiter, Inc.",Edmonds Joseph,10%,S - Sale,$22.06,"-19,705","10,933,822",0%,"-$434,771",#N/A,#N/A
,2021-06-16 20:38:31,2021-06-15,VERO,Venus Concept Inc.,Della Penna Domenic,CFO,P - Purchase,$2.41,#ERROR!,"66,663",1.5,#ERROR!,40000,96218
DM,2021-06-16 20:38:15,2021-06-14,SUM,"Summit Materials, Inc.",Lance Howard L,Dir,S - Sale+OE,$34.39,"-255,000","3,994",-98%,"-$8,768,175",#N/A,#N/A
,2021-06-16 20:37:52,2021-06-14,ZIP,"Ziprecruiter, Inc.",Siegel Ian H.,"CEO, 10%",S - Sale,$21.28,"-10,000","1,272,797",-1%,"-$212,800",#N/A,#N/A
,2021-06-16 20:36:03,2021-06-14,DKNG,Draftkings Inc.,Meckenzie Shalom,Dir,S - Sale,$51.56,"-660,000","21,068,204",-3%,"-$34,027,127",#N/A,#N/A
DM,2021-06-16 20:30:46,2021-06-15,BLFS,Biolife Solutions Inc,Berard Todd,CMO,S - Sale+OE,$39.32,"-12,320","79,566",-13%,"-$484,422",#N/A,#N/A
DM,2021-06-16 20:30:21,2021-06-14,BLFS,Biolife Solutions Inc,Mathew Aby J.,"EVP, Chief Scientific Off",S - Sale+OE,$39.09,"-20,000","210,304",-9%,"-$781,700",#N/A,#N/A
,2021-06-16 20:22:16,2021-06-15,MDLA,"Medallia, Inc.",Oulman Roxanne,"CFO, EVP",S - Sale,$31.52,"-6,680","499,918",-1%,"-$210,560",#N/A,#N/A
M,2021-06-16 20:21:29,2021-06-14,RNA,"Avidity Biosciences, Inc.",Levin Arthur A,Chief Scientific Officer,S - Sale,$25.98,"-37,022",0,-100%,"-$961,989",#N/A,#N/A
,2021-06-16 20:17:51,2021-06-14,AGYS,Agilysys Inc,Badger Kyle C,"SVP, GC, Secretary",S - Sale,$56.62,"-2,930","106,427",-3%,"-$165,897",#N/A,#N/A
M,2021-06-16 20:16:42,2021-06-14,AGYS,Agilysys Inc,Srinivasan Ramesh,"Pres, CEO",S - Sale,$54.45,"-69,855","681,199",-9%,"-$3,803,711",#N/A,#N/A
,2021-06-16 20:16:13,2021-06-15,MDLA,"Medallia, Inc.",Ottosson Mikael J,"CTO, EVP",S - Sale,$31.30,"-2,404","159,589",-1%,"-$75,241",#N/A,#N/A
,2021-06-16 20:13:45,2021-06-14,RSSS,"Research Solutions, Inc.",Nissan Marc,CTO,S - Sale,$2.44,"-33,528","510,992",-6%,"-$81,644",#N/A,#N/A
DM,2021-06-16 20:13:37,2021-06-15,ALLK,Allakos Inc.,Tomasi Adam,"Pres, COO",S - Sale+OE,$91.32,"-40,000","172,173",-19%,"-$3,652,864",#N/A,#N/A
,2021-06-16 20:13:25,2021-06-14,RSSS,"Research Solutions, Inc.",Urban Alan Louis,"CFO, Secretary",S - Sale,$2.45,"-5,000","351,509",-1%,"-$12,250",#N/A,#N/A
,2021-06-16 20:13:03,2021-06-15,MDLA,"Medallia, Inc.",Duan Jimmy C.,"Chief Customer Officer, EVP",S - Sale,$31.30,"-14,578","273,473",-5%,"-$456,358",#N/A,#N/A
D,2021-06-16 20:09:54,2021-06-14,SIVB,Svb Financial Group,Descheneaux Michael,"Pres, Silicon Valley Bank",S - Sale+OE,$557.13,"-4,012","18,008",-18%,"-$2,235,206",#N/A,#N/A
,2021-06-16 20:09:22,2021-06-15,MDLA,"Medallia, Inc.",Carducci Elizabeth,Chief Revenue Officer,S - Sale,$31.30,"-3,134","1,373,002",0%,"-$98,096",#N/A,#N/A
,2021-06-16 20:09:07,2021-06-14,NVTA,Invitae Corp,Brida Thomas,GC,S - Sale,$31.63,"-9,910","246,975",-4%,"-$313,405",#N/A,#N/A
D,2021-06-16 20:08:56,2021-06-14,ABNB,"Airbnb, Inc.",Blecharczyk Nathan,"Chief Strategy Officer, 10%",S - Sale+OE,$148.33,"-875,000","550,231",-61%,"-$129,787,963",#N/A,#N/A
M,2021-06-16 20:06:13,2021-06-14,TUES,Tuesday Morning Corp/de,Becker Steven R,See Remarks,S - Sale,$4.94,"-473,506","2,487,362",-16%,"-$2,337,278",#N/A,#N/A
D,2021-06-16 20:05:13,2021-06-15,OOMA,Ooma Inc,Yeh Jenny C,"VP, GC, Sec.",S - Sale+OE,$24.20,-363,"56,182",-1%,"-$8,785",#N/A,#N/A
,2021-06-16 20:04:35,2021-06-15,LSF,"Laird Superfood, Inc.",Hodge Paul Jr.,CEO,S - Sale,$31.08,"-3,500","251,901",-1%,"-$108,780",#N/A,#N/A
M,2021-06-16 20:02:01,2021-06-14,TALO,Talos Energy Inc.,"Apollo Management Holdings Gp, LLC",10%,S - Sale,$17.18,"-276,916","17,620,145",-2%,"-$4,758,143",#N/A,#N/A
M,2021-06-16 20:01:00,2021-06-14,DM,"Desktop Metal, Inc.",Hsieh Wen Hsuan,Dir,S - Sale,$12.39,"-225,000","17,631,665",-1%,"-$2,786,808",#N/A,#N/A
,2021-06-16 19:51:21,2021-06-16,RFIL,R F Industries Ltd,Holdsworth Mark Keith,Dir,P - Purchase,$7.38,#ERROR!,"433,999",0.14,#ERROR!,53818,397053
,2021-06-16 19:42:09,2021-06-14,CWEN,"Clearway Energy, Inc.","Global Infrastructure Investors Iii, LLC",10%,P - Purchase,$25.70,#ERROR!,"21,841",2.88,#ERROR!,16219,416828
D,2021-06-16 19:40:46,2021-06-15,MMSI,Merit Medical Systems Inc,Frost Ronald,COO,S - Sale+OE,$61.82,"-11,887","26,740",-31%,"-$734,854",#N/A,#N/A
M,2021-06-16 19:31:57,2021-06-14,STTK,"Shattuck Labs, Inc.",Hornblower Josiah,Dir,S - Sale,$28.00,"-21,340","3,186,767",-1%,"-$597,544",#N/A,#N/A
D,2021-06-16 19:31:52,2021-06-15,MU,Micron Technology Inc,Zinsner David,"SVP, CFO",S - Sale+OE,$82.19,"-8,050","158,094",-5%,"-$661,612",#N/A,#N/A
,2021-06-16 19:28:20,2021-06-15,SWAV,"Shockwave Medical, Inc.",Watkins Frank T,Dir,S - Sale,$188.34,"-2,000","76,952",-3%,"-$376,680",#N/A,#N/A
,2021-06-16 19:27:50,2021-06-15,STTK,"Shattuck Labs, Inc.",Neill Andrew R,CFO,S - Sale,$27.53,"-2,000","55,963",-3%,"-$55,051",#N/A,#N/A
,2021-06-16 19:26:54,2021-06-15,WSM,Williams Sonoma Inc,Whalen Julie,EVP CFO,S - Sale,$164.25,"-3,000","81,312",-4%,"-$492,741",#N/A,#N/A
D,2021-06-16 19:25:55,2021-06-15,SWAV,"Shockwave Medical, Inc.",Zacharias Isaac,Chief Commercial Officer,S - Sale+OE,$188.25,"-4,000","59,420",-6%,"-$752,993",#N/A,#N/A
,2021-06-16 19:25:37,2021-06-15,STTK,"Shattuck Labs, Inc.",Thomson Erin Ator,GC,S - Sale,$27.55,"-4,000","84,259",-5%,"-$110,219",#N/A,#N/A
DM,2021-06-16 19:25:32,2021-06-14,LCUT,"Lifetime Brands, Inc",Winoker Laurence,"SVP- Finance, CFO, Treasurer",S - Sale+OE,$16.88,"-3,563","87,008",-4%,"-$60,160",#N/A,#N/A
D,2021-06-16 19:22:16,2021-06-14,TECH,Bio-Techne Corp,Kummeth Charles R.,CEO,S - Sale+OE,$449.15,"-7,481","167,104",-4%,"-$3,360,066",#N/A,#N/A
D,2021-06-16 19:20:59,2021-06-16,ITI,"Iteris, Inc.",Bergera J. Joseph,"Pres, CEO",S - Sale+OE,$7.00,"-32,855","92,716",-26%,"-$230,005",#N/A,#N/A
D,2021-06-16 19:20:39,2021-06-15,TLYS,"Tilly'S, Inc.",Shaked Hezy,"See Remarks, 10%",S - Sale+OE,$16.26,"-2,000","60,000",-3%,"-$32,525",#N/A,#N/A
,2021-06-16 19:13:46,2021-06-14,WSM,Williams Sonoma Inc,Alber Laura,"Pres, CEO",S - Sale,$166.78,"-5,000","555,360",-1%,"-$833,897",#N/A,#N/A
M,2021-06-16 19:11:40,2021-06-14,CRVL,Corvel Corp,Clemons V Gordon,COB,S - Sale,$121.92,"-2,000","1,502,207",0%,"-$243,849",#N/A,#N/A
,2021-06-16 19:07:36,2021-06-14,CME,Cme Group Inc.,Cronin Kathleen M,"Sr MD GC, Corp Secr",S - Sale,$215.31,"-4,092","42,481",-9%,"-$881,049",#N/A,#N/A
,2021-06-16 19:05:23,2021-06-16,AMK,"Assetmark Financial Holdings, Inc.",Mehta Mukesh,"EVP, CIO",S - Sale,$27.00,-100,"306,794",0%,"-$2,700",#N/A,#N/A
,2021-06-16 19:03:26,2021-06-15,SEM,Select Medical Holdings Corp,Cressey Bryan C,Dir,S - Sale,$42.38,"-10,000","507,649",-2%,"-$423,800",#N/A,#N/A
DM,2021-06-16 19:01:27,2021-06-16,KRTX,"Karuna Therapeutics, Inc.",Ignelzi Troy A.,CFO,S - Sale+OE,$130.13,"-3,500","13,000",-21%,"-$455,468",#N/A,#N/A
,2021-06-16 19:00:53,2021-06-15,MTN,Vail Resorts Inc,Vaughn Peter A,Dir,S - Sale,$321.93,"-1,000","7,025",-12%,"-$321,930",#N/A,#N/A
M,2021-06-16 19:00:42,2021-06-14,JMP,Jmp Group LLC,Wedbush Securities Inc,"Possible Member of 10% Group, 10%",P - Purchase,$5.85,#ERROR!,"4,329,500",0%,#ERROR!,1000,5845
D,2021-06-16 19:00:27,2021-06-14,ADPT,Adaptive Biotechnologies Corp,Griffin Michelle Renee,Dir,S - Sale+OE,$38.56,"-2,500","1,504",-62%,"-$96,400",#N/A,#N/A
,2021-06-16 19:00:26,2021-06-14,SNAP,Snap Inc,Coles Joanna,Dir,S - Sale,$64.57,"-1,986","43,527",-4%,"-$128,236",#N/A,#N/A
,2021-06-16 19:00:15,2021-06-14,ADPT,Adaptive Biotechnologies Corp,Adams R Mark,COO,S - Sale,$38.77,"-8,914","58,104",-13%,"-$345,596",#N/A,#N/A
,2021-06-16 19:00:00,2021-06-15,JBLU,Jetblue Airways Corp,Hayes Robin,CEO,S - Sale,$18.26,"-1,000","565,836",0%,"-$18,260",#N/A,#N/A
D,2021-06-16 18:54:45,2021-06-14,ZM,"Zoom Video Communications, Inc.",Pelosi Janine,CMO,S - Sale+OE,$361.90,"-4,000","32,192",-11%,"-$1,447,600",#N/A,#N/A
,2021-06-16 18:54:23,2021-06-14,ZM,"Zoom Video Communications, Inc.",Bawa Aparna,COO,S - Sale,$365.10,"-2,593","153,983",-2%,"-$946,707",#N/A,#N/A
,2021-06-16 18:53:10,2021-06-14,RAPT,"Rapt Therapeutics, Inc.",Ho William,Chief Medical Officer,S - Sale,$40.00,"-2,000","60,529",-3%,"-$80,000",#N/A,#N/A
D,2021-06-16 18:53:01,2021-06-14,CRC,California Resources Corp,Goldentree Asset Management LP,10%,S - Sale+OE,$33.34,"-240,809","15,338,222",-2%,"-$8,027,654",#N/A,#N/A
M,2021-06-16 18:50:27,2021-06-15,LOV,Spark Networks Se,Canaan VIII LP,10%,S - Sale,$5.38,"-20,813","2,715,250",-1%,"-$112,048",#N/A,#N/A
,2021-06-16 18:48:47,2021-06-14,ITOS,"Iteos Therapeutics, Inc.",Detheux Michel,CEO,S - Sale,$28.50,"-29,000","148,937",-16%,"-$826,534",#N/A,#N/A
,2021-06-16 18:46:44,2021-06-16,ITOS,"Iteos Therapeutics, Inc.",Gall Matthew,CFO,P - Purchase,$26.09,#ERROR!,"5,000",New,#ERROR!,5000,130447
,2021-06-16 18:44:30,2021-06-15,CIEN,Ciena Corp,Rothenstein David M,"SVP, GC",S - Sale,$58.13,"-3,000","264,168",-1%,"-$174,390",#N/A,#N/A
D,2021-06-16 18:40:22,2021-06-14,AEO,American Eagle Outfitters Inc,McLean Andrew J.,"EVP, Chief Commercial Officer",S - Sale+OE,$35.00,"-18,549","28,610",-39%,"-$649,215",#N/A,#N/A
M,2021-06-16 18:40:21,2021-06-14,AI,"C3.Ai, Inc.",Siebel Thomas M,"CEO, 10%",S - Sale,$59.39,"-680,909","9,804,273",-6%,"-$40,440,348",#N/A,#N/A
,2021-06-16 18:40:14,2021-06-16,MLAB,Mesa Laboratories Inc /co/,Guillemin Evan,Dir,S - Sale,$256.36,-720,"30,170",-2%,"-$184,579",#N/A,#N/A
,2021-06-16 18:38:54,2021-06-15,ATH,Athene Holding Ltd,Borden Robert L,Dir,S - Sale,$62.88,"-2,000","52,254",-4%,"-$125,760",#N/A,#N/A
,2021-06-16 18:37:03,2021-06-14,ATH,Athene Holding Ltd,McCall H Carl,Dir,S - Sale,$63.00,"-5,555","23,186",-19%,"-$349,965",#N/A,#N/A
,2021-06-16 18:34:21,2021-06-15,TRUP,"Trupanion, Inc.",Low Murray B,Dir,S - Sale,$100.00,-500,"130,524",0%,"-$50,000",#N/A,#N/A
D,2021-06-16 18:31:52,2021-06-14,NTRA,"Natera, Inc.",Chapman Steven Leonard,"CEO, Pres",S - Sale+OE,$103.61,"-26,092","70,406",-27%,"-$2,703,397",#N/A,#N/A
,2021-06-16 18:31:40,2021-06-15,ELVT,"Elevate Credit, Inc.",Greever Scott,Chief Product Officer,S - Sale,$3.70,"-5,000","86,156",-5%,"-$18,500",#N/A,#N/A
,2021-06-16 18:30:41,2021-06-14,SQSP,"Squarespace, Inc.",Casalena Anthony,"CEO, 10%",S - Sale,$60.00,"-94,325","467,317",-17%,"-$5,659,500",#N/A,#N/A
,2021-06-16 18:30:18,2021-06-15,MIME,Mimecast Ltd,Bauer Peter,CEO,S - Sale,$52.25,"-17,500","3,308,747",-1%,"-$914,337",#N/A,#N/A
M,2021-06-16 18:26:56,2021-06-14,GTN,Gray Television Inc,Laplatney D Patrick,Dir,S - Sale,$22.61,"-40,000","400,727",-9%,"-$904,200",#N/A,#N/A
D,2021-06-16 18:24:11,2021-06-15,FOX,Fox Corp,Dinh Viet D,"Chief Legal, Policy Officer",S - Sale+OE,$37.51,"-35,704","10,288",-78%,"-$1,339,257",#N/A,#N/A
M,2021-06-16 18:24:01,2021-06-14,AIRC,Apartment Income Reit Corp.,Beldin Paul,EVP - CFO,S - Sale,$50.01,"-11,212","64,826",-15%,"-$560,760",#N/A,#N/A
M,2021-06-16 18:23:07,2021-06-14,WMT,Walmart Inc.,Walton S Robson,"Dir, 10%",S - Sale,$139.27,"-3,095,606","1,340,988,620",0%,"-$431,128,996",#N/A,#N/A
D,2021-06-16 18:22:29,2021-06-15,DLB,"Dolby Laboratories, Inc.",Yeaman Kevin J,"Pres, CEO",S - Sale+OE,$99.58,"-29,457","139,309",-17%,"-$2,933,352",#N/A,#N/A
D,2021-06-16 18:22:15,2021-06-15,JANX,"Janux Therapeutics, Inc.",Bregua Corp,10%,P - Purchase,$17.00,#ERROR!,"3,749,250",0.02,#ERROR!,58823,999991
M,2021-06-16 18:21:16,2021-06-15,IIPR,Innovative Industrial Properties Inc,Gold Alan D,Exec COB,S - Sale,$33.91,"-2,269","36,577",-6%,"-$76,949",#N/A,#N/A
D,2021-06-16 18:21:07,2021-06-14,SENS,"Senseonics Holdings, Inc.",Jain Mukul,COO,S - Sale+OE,$4.36,"-50,000","1,950,345",-2%,"-$218,000",#N/A,#N/A
,2021-06-16 18:20:37,2021-06-15,XDSL,"Mphase Technologies, Inc.",Bhatnagar Anshu,CEO,P - Purchase,$0.42,#ERROR!,"40,676,351",0.01,#ERROR!,360000,151200
D,2021-06-16 18:20:07,2021-06-15,JANX,"Janux Therapeutics, Inc.",Thompson Peter A.,Dir,P - Purchase,$17.00,#ERROR!,"282,398",-167%,#ERROR!,705853,11999501
M,2021-06-16 18:20:06,2021-06-14,WMT,Walmart Inc.,Walton Alice L,10%,S - Sale,$139.27,"-3,095,606","1,344,519,853",0%,"-$431,128,996",#N/A,#N/A
,2021-06-16 18:19:03,2021-06-15,LII,Lennox International Inc,Young Douglas L,"EVP, Pres, COO RHC",S - Sale,$334.97,"-8,704","55,217",-14%,"-$2,915,589",#N/A,#N/A
D,2021-06-16 18:18:24,2021-06-15,NVDA,Nvidia Corp,Burgess Robert K,Dir,S - Sale+OE,$713.22,"-4,000","7,035",-36%,"-$2,852,879",#N/A,#N/A
A,2021-06-16 18:18:22,2021-06-14,CONN,Conns Inc,"W.R. Stephens, III 2012 Trust",10%,S - Sale,$28.28,-935,"49,800",-2%,"-$26,442",#N/A,#N/A
D,2021-06-16 18:17:57,2021-06-15,JANX,"Janux Therapeutics, Inc.",Orbimed Advisors LLC,Dir,P - Purchase,$17.00,#ERROR!,"282,398",-167%,#ERROR!,705853,11999501
M,2021-06-16 18:17:48,2021-06-14,SDGR,"Schrodinger, Inc.",Shaw David E,10%,S - Sale,$75.25,"-141,072","7,308,614",-2%,"-$10,616,047",#N/A,#N/A
,2021-06-16 18:17:31,2021-06-14,FRPT,"Freshpet, Inc.",Morris Scott James,"Pres, COO",S - Sale,$167.85,"-1,997","138,351",-1%,"-$335,186",#N/A,#N/A
,2021-06-16 18:17:25,2021-06-15,CNC,Centene Corp,Ayala Orlando,Dir,S - Sale,$69.01,"-30,000","100,261",-23%,"-$2,070,300",#N/A,#N/A
M,2021-06-16 18:17:07,2021-06-14,WMT,Walmart Inc.,Walton Jim C,10%,S - Sale,$139.27,"-3,095,606","1,348,278,397",0%,"-$431,128,996",#N/A,#N/A
,2021-06-16 18:14:15,2021-06-15,CIEN,Ciena Corp,Petrik Andrew C,"VP, CONTROLLER",S - Sale,$58.13,"-1,000","34,522",-3%,"-$58,130",#N/A,#N/A
D,2021-06-16 18:13:34,2021-06-15,HRMY,"Harmony Biosciences Holdings, Inc.",Dierks Jeffrey,Chief Commercial Officer,S - Sale+OE,$31.32,"-15,000",0,-100%,"-$469,806",#N/A,#N/A
D,2021-06-16 18:11:02,2021-06-15,JANX,"Janux Therapeutics, Inc.",Reardon Tighe,"Acting CFO, 10%",P - Purchase,$17.00,#ERROR!,"4,652,427",0.16,#ERROR!,629411,10699987
,2021-06-16 18:09:45,2021-06-15,GDYN,"Grid Dynamics Holdings, Inc.",Kozyrkov Vadim,SVP of Engineering,S - Sale,$17.30,-383,"200,910",0%,"-$6,626",#N/A,#N/A
M,2021-06-16 18:07:52,2021-06-14,HYMC,Hycroft Mining Holding Corp,Highbridge Capital Management LLC,10%,S - Sale,$3.51,"-81,300","13,983,634",-1%,"-$285,250",#N/A,#N/A
D,2021-06-16 18:05:49,2021-06-15,JANX,"Janux Therapeutics, Inc.",Lichter Jay,"Dir, 10%",P - Purchase,$17.00,#ERROR!,"4,479,492",0.16,#ERROR!,629411,10699987
DM,2021-06-16 18:05:21,2021-06-14,MIME,Mimecast Ltd,Anderson Karen M.,CHRO,S - Sale+OE,$52.13,"-34,597","34,288",-50%,"-$1,803,580",#N/A,#N/A
,2021-06-16 18:05:12,2021-06-16,RFP,Resolute Forest Products Inc.,Ouellet Daniel,SVP HR,S - Sale,$13.51,"-5,000","100,865",-5%,"-$67,550",#N/A,#N/A
D,2021-06-16 18:03:03,2021-06-14,TXG,"10X Genomics, Inc.",Crutchfield Bradford,Chief Commercial Officer,S - Sale+OE,$191.69,"-17,000","43,262",-28%,"-$3,258,736",#N/A,#N/A
M,2021-06-16 18:02:04,2021-06-14,CHWY,"Chewy, Inc.",Mehta Satish,CTO,S - Sale,$75.02,"-63,065","735,710",-8%,"-$4,730,947",#N/A,#N/A
D,2021-06-16 18:01:53,2021-06-15,ISRG,Intuitive Surgical Inc,Rosa David J.,"EVP, Chief Business Officer",S - Sale+OE,$873.23,"-17,038","32,712",-34%,"-$14,878,110",#N/A,#N/A
D,2021-06-16 17:59:55,2021-06-15,JANX,"Janux Therapeutics, Inc.","Avalon Ventures Xi, L.P.",10%,P - Purchase,$17.00,#ERROR!,"8,866,709",0.08,#ERROR!,629411,10699987
M,2021-06-16 17:59:37,2021-06-14,CHWY,"Chewy, Inc.",Marte Mario Jesus,CFO,S - Sale,$75.02,"-74,607","852,882",-8%,"-$5,596,793",#N/A,#N/A
M,2021-06-16 17:57:32,2021-06-14,CHWY,"Chewy, Inc.",Singh Sumit,CEO,S - Sale,$75.02,"-169,070","2,025,346",-8%,"-$12,683,091",#N/A,#N/A
D,2021-06-16 17:56:18,2021-06-14,NWPX,Northwest Pipe Co,Montross Scott J,"Pres, CEO",S - Sale+OE,$30.45,-200,"88,554",0%,"-$6,090",#N/A,#N/A
M,2021-06-16 17:55:44,2021-06-14,AYRO,"Ayro, Inc.",Keller Rodney C. Jr.,CEO,S - Sale,$5.34,"-140,000","511,250",-21%,"-$747,187",#N/A,#N/A
M,2021-06-16 17:55:08,2021-06-14,CHWY,"Chewy, Inc.",Helfrick Susan,GC,S - Sale,$75.02,"-37,304","430,796",-8%,"-$2,798,434",#N/A,#N/A
,2021-06-16 17:54:52,2021-06-14,NWPX,Northwest Pipe Co,Larson Keith R,Dir,S - Sale,$30.08,"-1,000","21,414",-4%,"-$30,084",#N/A,#N/A
,2021-06-16 17:53:35,2021-06-14,CTSH,Cognizant Technology Solutions Corp,Schmitt Becky,"EVP, Chief People Officer",S - Sale,$71.15,"-2,808","21,110",-12%,"-$199,789",#N/A,#N/A
D,2021-06-16 17:52:54,2021-06-15,APPS,"Digital Turbine, Inc.",Collins Christine,CTO,S - Sale+OE,$70.02,"-40,000",0,-100%,"-$2,800,800",#N/A,#N/A
M,2021-06-16 17:52:37,2021-06-14,CHWY,"Chewy, Inc.",Bowman Stacy,Principal Accounting Officer,S - Sale,$75.02,"-28,752","418,190",-6%,"-$2,156,861",#N/A,#N/A
,2021-06-16 17:52:28,2021-06-14,NVTA,Invitae Corp,Guyer Shelly D,CFO,S - Sale,$31.63,"-9,910","241,975",-4%,"-$313,405",#N/A,#N/A
,2021-06-16 17:51:58,2021-06-14,NVTA,Invitae Corp,Stueland Katherine,Chief Commercial Officer,S - Sale,$31.60,"-20,340","214,231",-9%,"-$642,679",#N/A,#N/A
,2021-06-16 17:50:23,2021-06-14,CONN,Conns Inc,Arden Jewell Stephens 2012 Trust,10%,S - Sale,$28.28,-955,"49,800",-2%,"-$27,007",#N/A,#N/A
D,2021-06-16 17:49:42,2021-06-16,SIBN,"Si-Bone, Inc.",Hinckley Gregory K,Dir,S - Sale+OE,$31.46,"-1,179","146,997",-1%,"-$37,091",#N/A,#N/A
M,2021-06-16 17:49:29,2021-06-14,SIBN,"Si-Bone, Inc.",Freund John Gordon,Dir,S - Sale,$31.24,"-52,092","444,761",-10%,"-$1,627,301",#N/A,#N/A
,2021-06-16 17:48:07,2021-06-14,NVTA,Invitae Corp,Nussbaum Robert L,Chief Medical Officer,S - Sale,$31.63,"-9,910","266,879",-4%,"-$313,405",#N/A,#N/A
M,2021-06-16 17:47:35,2021-06-14,CRCT,"Cricut, Inc.","Abdiel Capital Management, LLC",10%,P - Purchase,$33.58,#ERROR!,"4,993,699",0.04,#ERROR!,170790,5735271
,2021-06-16 17:46:30,2021-06-14,RBLX,Roblox Corp,Donato Craig,Chief Business Officer,S - Sale,$89.10,"-70,000","1,960,367",-3%,"-$6,236,674",#N/A,#N/A
,2021-06-16 17:46:24,2021-06-14,NVTA,Invitae Corp,George Sean E,"Pres, CEO",S - Sale,$31.63,"-21,201","779,244",-3%,"-$670,484",#N/A,#N/A
,2021-06-16 17:44:56,2021-06-14,CONN,Conns Inc,Stephens Carol,10%,S - Sale,$28.28,-240,"12,480",-2%,"-$6,787",#N/A,#N/A
M,2021-06-16 17:44:49,2021-06-14,JNPR,Juniper Networks Inc,Rahim Rami,CEO,S - Sale,$28.34,"-16,500","786,068",-2%,"-$467,639",#N/A,#N/A
,2021-06-16 17:44:40,2021-06-15,PTVE,Pactiv Evergreen Inc.,King Michael Jack,"Pres, CEO",P - Purchase,$15.00,562,"10,562",0.06,#ERROR!,562,8430
